id,barrier_free_accessibilty_entr 
10360,NO
10361,NO
10363,NO
10364,NO
10366,NO
10370,NO
10372,NO
10373,NO
10374,NO
10376,NO
10378,NO
10379,NO
10380,NO
10381,NO
10383,NO
10386,NO
10394,NO
10395,NO
10397,NO
10398,NO
10400,NO
10401,NO
10402,NO
10403,NO
10405,NO
10409,NO
10412,NO
10413,NO
10414,NO
10415,NO
10416,NO
10417,NO
10422,NO
10423,NO
10424,NO
10427,NO
10429,NO
10430,NO
10431,NO
10432,NO
10433,NO
10434,NO
10435,NO
10436,NO
10437,NO
10442,NO
10443,NO
10446,NO
10448,NO
10449,NO
10450,NO
10451,NO
10454,NO
10457,NO
10458,NO
10459,NO
10460,NO
10461,NO
10462,NO
10463,NO
10464,NO
10465,NO
10466,NO
10467,NO
10468,NO
10469,NO
10471,NO
10472,NO
10475,NO
10476,NO
10478,NO
10479,NO
10481,NO
10483,NO
10484,NO
10486,NO
10488,NO
10491,NO
10494,NO
10495,NO
10496,NO
10497,NO
10498,NO
10499,NO
10500,NO
10502,NO
10503,NO
10504,NO
10505,NO
10506,NO
10507,NO
10511,NO
10512,NO
10513,NO
10514,NO
10515,NO
10516,NO
10521,NO
10522,NO
10523,NO
10525,NO
10527,NO
10532,NO
10533,NO
10534,NO
10535,NO
10536,NO
10537,NO
10542,NO
10543,NO
10544,NO
10545,NO
10546,NO
10547,NO
10548,NO
10549,NO
10551,NO
10552,NO
10554,NO
10555,NO
10556,NO
10557,NO
10558,NO
10560,NO
10561,NO
10562,NO
10564,NO
10565,NO
10566,NO
10567,NO
10568,NO
10570,NO
10571,NO
10572,NO
10574,NO
10575,NO
10576,NO
10577,NO
10578,NO
10579,NO
10580,NO
10581,NO
10583,NO
10584,NO
10585,NO
10588,NO
10589,NO
10591,NO
10593,NO
10595,NO
10597,NO
10601,NO
10603,NO
10605,NO
10606,NO
10607,NO
10609,NO
10610,NO
10611,NO
10612,NO
10613,NO
10617,NO
10618,NO
10619,NO
10620,NO
10621,NO
10622,NO
10623,NO
10624,NO
10625,NO
10626,NO
10629,NO
10632,NO
10633,NO
10636,NO
10637,NO
10638,NO
10639,NO
10643,NO
10645,NO
10647,NO
10651,NO
10652,NO
10653,NO
10654,NO
10656,NO
10657,NO
10658,NO
10660,NO
10662,NO
10663,NO
10668,NO
10672,NO
10675,NO
10679,NO
10680,NO
10681,NO
10682,NO
10683,NO
10684,NO
10685,NO
10686,NO
10688,NO
10691,NO
10692,NO
10693,NO
10694,NO
10695,NO
10696,NO
10699,NO
10700,NO
10701,NO
10703,NO
10704,NO
10705,NO
10707,NO
10708,NO
10709,NO
10710,NO
10712,NO
10713,NO
10714,NO
10715,NO
10716,NO
10717,NO
10719,NO
10721,NO
10722,NO
10723,NO
10724,NO
10725,NO
10726,NO
10728,NO
10732,NO
10733,NO
10734,NO
10736,NO
10737,NO
10738,NO
10739,NO
10741,NO
10742,NO
10743,NO
10744,NO
10751,NO
10752,NO
10753,NO
10757,NO
10758,NO
10759,NO
10760,NO
10761,NO
10766,NO
10768,NO
10769,NO
10770,NO
10773,NO
10775,NO
10778,NO
10780,NO
10782,NO
10785,NO
10787,NO
10793,NO
10794,NO
10795,NO
10796,NO
10797,NO
10799,NO
10802,NO
10803,NO
10804,NO
10805,NO
10806,NO
10807,NO
10812,NO
10813,NO
10814,NO
10816,NO
10817,NO
10818,NO
10820,NO
10821,NO
10824,NO
10825,NO
10828,NO
10830,NO
10833,NO
10834,NO
10835,NO
10836,NO
10837,NO
10838,NO
10841,NO
10842,NO
10847,NO
10849,NO
10850,NO
10852,NO
10855,NO
10856,NO
10857,NO
10858,NO
10861,NO
10862,NO
10866,NO
10871,NO
10872,NO
10873,NO
10874,NO
10875,NO
10878,NO
10879,NO
10880,NO
10884,NO
10885,NO
10889,NO
10890,NO
10891,NO
10892,NO
10893,NO
10894,NO
10895,NO
10896,NO
10900,NO
10901,NO
10902,NO
10903,NO
10905,NO
10908,NO
10918,NO
10919,NO
10920,NO
10921,NO
10922,NO
10923,NO
10924,NO
10925,NO
10926,NO
10927,NO
10928,NO
10929,NO
10930,NO
10932,NO
10934,NO
10936,NO
10937,NO
10938,NO
10939,NO
10940,NO
10941,NO
10943,NO
10946,NO
10948,NO
10950,NO
10951,NO
10952,NO
10953,NO
10954,NO
10958,NO
10960,NO
10961,NO
10962,NO
10964,NO
10965,NO
10966,NO
10968,NO
10969,NO
10974,NO
10975,NO
10977,NO
10978,NO
10979,NO
10980,NO
10981,NO
10982,NO
10983,NO
10984,NO
10985,NO
10986,NO
10987,NO
10992,NO
10999,NO
11000,NO
11002,NO
11010,NO
11012,NO
11013,NO
11014,NO
11019,NO
11020,NO
11021,NO
11023,NO
11034,NO
11037,NO
11038,NO
11039,NO
11040,NO
11045,NO
11046,NO
11049,NO
11050,NO
11051,NO
11052,NO
11053,NO
11054,NO
11058,NO
11059,NO
11061,NO
11064,NO
11065,NO
11067,NO
11068,NO
11070,NO
11073,NO
11074,NO
11075,NO
11077,NO
11080,NO
11081,NO
11083,NO
11084,NO
11085,NO
11086,NO
11088,NO
11090,NO
11091,NO
11094,NO
11095,NO
11099,NO
11102,NO
11106,NO
11110,NO
11112,NO
11113,NO
11118,NO
